Time,CPU,Memory,Temp
06:30:54,41.2,2485.53125,55.1
06:30:55,40.4,2487.109375,56.2
06:30:56,41.7,2494.765625,56.2
06:30:57,43.4,2492.703125,55.1
06:30:58,41.6,2487.78125,56.2
06:30:59,42.4,2505.34375,56.2
06:31:00,43.3,2509.03125,55.65
06:31:01,40.4,2510.84375,57.85
06:31:02,41.9,2499.71875,57.3
06:31:03,41.6,2487.953125,55.65
06:31:04,42.5,2491.46875,56.75
06:31:05,41.7,2487.96875,56.2
06:31:06,41.1,2482.0,56.75
06:31:07,43.0,2492.921875,56.2
06:31:08,42.8,2494.21875,57.3
06:31:09,42.5,2495.390625,57.85
06:31:10,43.1,2488.6875,57.85
06:31:11,40.4,2490.671875,57.3
06:31:12,39.4,2493.703125,57.3
06:31:13,42.5,2497.171875,57.3
06:31:14,41.3,2498.046875,56.2
06:31:15,43.6,2488.71875,57.3
06:31:16,41.5,2490.375,57.3
06:31:17,39.8,2501.984375,56.75
06:31:18,43.2,2502.75,56.2
06:31:19,43.2,2489.390625,57.85
06:31:20,40.7,2495.609375,57.3
06:31:21,43.7,2489.234375,57.85
06:31:22,39.2,2489.875,55.65
06:31:23,40.3,2486.296875,56.75
06:31:24,40.6,2485.1875,57.3
06:31:25,40.8,2492.953125,57.85
06:31:26,42.3,2484.625,57.3
06:31:27,40.3,2494.546875,57.3
06:31:28,42.1,2495.359375,58.95
06:31:29,40.3,2490.875,58.4
06:31:30,40.4,2492.671875,57.3
06:31:31,44.7,2496.6875,58.4
06:31:32,43.3,2494.9375,57.3
06:31:33,40.1,2495.46875,57.85
06:31:34,42.2,2494.125,58.95
06:31:35,39.0,2499.03125,58.4
06:31:36,44.4,2504.25,57.85
06:31:37,40.8,2501.53125,57.3
06:31:38,40.8,2492.296875,58.95
06:31:39,38.9,2496.21875,58.4
06:31:40,41.7,2494.9375,59.5
06:31:41,42.4,2501.421875,58.4
06:31:42,41.6,2511.953125,58.4
06:31:43,39.4,2514.46875,60.05
06:31:44,39.6,2514.28125,58.95
06:31:45,41.5,2511.296875,58.4
06:31:46,42.6,2508.828125,59.5
06:31:47,39.9,2500.703125,59.5
06:31:48,37.7,2504.265625,58.95
06:31:49,41.0,2511.09375,58.95
06:31:50,40.7,2507.328125,60.05
06:31:51,42.0,2507.625,59.5
06:31:52,43.3,2499.953125,60.05
06:31:53,40.1,2504.296875,59.5
06:31:54,42.4,2504.390625,60.05
06:31:55,40.1,2503.40625,60.05
06:31:56,42.5,2506.4375,58.95
06:31:57,42.6,2512.265625,60.6
06:31:58,38.5,2505.59375,61.15
06:31:59,40.8,2512.546875,60.05
06:32:00,38.4,2516.078125,58.95
06:32:01,41.6,2510.859375,60.6
06:32:02,42.6,2506.609375,60.6
06:32:03,41.5,2511.5625,60.6
06:32:04,41.4,2517.703125,59.5
06:32:05,42.9,2512.859375,61.15
06:32:06,42.4,2510.921875,61.15
06:32:07,41.6,2511.765625,61.15
06:32:08,39.8,2510.890625,60.05
06:32:09,39.8,2514.0625,61.15
06:32:10,42.4,2506.140625,61.15
06:32:11,41.0,2512.96875,60.6
06:32:12,44.3,2520.703125,60.6
06:32:13,40.3,2525.546875,60.6
06:32:14,41.8,2509.25,60.05
06:32:15,41.5,2500.34375,61.15
06:32:16,41.2,2505.453125,60.6
06:32:17,43.7,2509.46875,61.15
06:32:18,40.7,2506.921875,61.7
06:32:19,41.2,2509.3125,60.05
06:32:20,39.2,2509.9375,61.15
06:32:21,44.8,2514.09375,61.7
06:32:22,40.2,2504.0625,61.7
06:32:23,41.3,2509.890625,62.8
06:32:24,41.5,2511.34375,62.25
06:32:25,40.4,2507.59375,61.7
06:32:26,44.7,2511.1875,61.15
06:32:27,42.6,2511.4375,62.25
06:32:28,41.1,2510.796875,61.7
06:32:29,42.5,2525.046875,62.8
06:32:30,42.1,2538.671875,61.15
06:32:31,41.2,2532.1875,62.8
06:32:32,42.9,2520.65625,62.25
06:32:33,41.5,2515.921875,61.15
06:32:34,41.7,2511.109375,63.9
06:32:35,40.7,2522.484375,62.8
06:32:36,42.0,2518.171875,61.7
06:32:37,43.2,2526.03125,61.7
06:32:38,39.7,2525.109375,62.25
06:32:39,39.5,2522.390625,62.25
06:32:40,41.7,2516.6875,61.7
06:32:41,41.7,2514.546875,61.7
06:32:42,43.6,2505.234375,62.8
06:32:43,40.3,2499.28125,62.25
06:32:44,43.7,2506.109375,62.25
06:32:45,39.3,2493.484375,62.8
06:32:46,40.3,2498.265625,61.7
06:32:47,39.9,2496.28125,63.35
06:32:48,41.7,2503.609375,62.8
06:32:49,41.5,2494.078125,62.8
06:32:50,43.0,2502.0625,63.35
06:32:51,41.5,2505.84375,63.9
06:32:52,45.1,2509.96875,62.8
06:32:53,40.0,2514.515625,62.8
06:32:54,41.9,2512.734375,63.35
06:32:55,41.7,2520.3125,62.8
06:32:56,43.1,2515.34375,62.8
06:32:57,42.4,2514.265625,63.9
06:32:58,43.5,2514.5625,63.35
06:32:59,39.7,2510.953125,63.35
06:33:00,39.5,2516.265625,63.9
06:33:01,40.6,2510.390625,64.45
06:33:02,42.6,2504.703125,63.9
06:33:03,43.5,2508.5625,64.45
06:33:04,39.6,2498.140625,62.25
06:33:05,42.8,2502.03125,64.45
06:33:06,41.4,2512.390625,62.8
06:33:07,43.1,2511.890625,64.45
06:33:08,41.2,2500.0625,62.8
06:33:09,42.9,2502.5625,64.45
06:33:10,42.7,2503.421875,63.9
06:33:11,41.9,2505.453125,63.35
06:33:12,44.3,2501.390625,64.45
06:33:13,43.0,2512.6875,63.9
06:33:14,40.7,2520.578125,64.45
06:33:15,42.0,2517.15625,63.9
06:33:16,42.7,2517.609375,63.9
06:33:17,42.1,2513.71875,63.35
06:33:18,38.6,2507.9375,64.45
06:33:19,43.4,2514.59375,63.9
06:33:20,27.4,2463.625,62.8
06:33:21,13.6,2209.234375,61.7
06:33:22,0.5,2203.578125,62.8
06:33:23,0.0,2196.375,61.7
06:33:24,0.2,2188.015625,62.25
06:33:25,0.5,2176.96875,61.7
06:33:26,1.3,2183.421875,61.7
06:33:27,0.7,2176.328125,60.05
06:33:28,0.3,2170.421875,60.6
06:33:29,0.0,2162.828125,61.15
06:33:30,0.2,2158.234375,61.15
06:33:31,0.8,2165.90625,59.5
06:33:32,0.7,2159.953125,60.6
06:33:33,0.3,2155.96875,61.15
06:33:34,0.0,2152.671875,61.7
06:33:35,0.0,2146.578125,60.05
06:33:36,1.2,2150.328125,60.05
06:33:37,0.5,2147.734375,60.05
06:33:38,0.5,2145.421875,60.05
06:33:39,0.0,2142.171875,60.05
06:33:40,0.2,2137.3125,60.05
06:33:41,0.7,2144.28125,59.5
06:33:42,0.3,2141.5,60.6
06:33:43,0.0,2140.5625,60.05
06:33:44,0.5,2138.75,58.95
06:33:45,0.2,2135.421875,58.95
06:33:46,0.8,2139.828125,58.95
06:33:47,0.3,2137.84375,59.5
06:33:48,0.7,2137.3125,60.05
06:33:49,0.0,2134.453125,58.95
06:33:50,0.0,2132.765625,58.95
06:33:51,0.8,2136.15625,60.6
06:33:52,0.3,2133.828125,58.95
06:33:53,0.2,2133.21875,59.5
06:33:54,0.0,2131.25,58.95
06:33:55,0.7,2127.5,60.6
06:33:56,0.7,2133.5,60.05
